ID,title,regexp,description 
856,,((\d|([a-f]|[A-F])){2}:){5}(\d|([a-f]|[A-F])){2},Deisgned to verify a MAC address with hex values seperated by a colon.
857,,\b-?[1-9](?:\.\d+)?[Ee][-+]?\d+\b,"Matches standard scientific notation using E character
Scientific notation involves writing a number as the product of two numbers. The first one, the digit value, is always more than one and less than 10. The other, the exponential term, is expressed as a power of 10."
858,,^(?:(?:((?![0-9_])[a-zA-Z0-9_]+)\.?)+)(?<!\.)$,"Matches that an input string is a valid namespace definition.  It also captures each word / section in the namespace in case they are needed.
The rules this was created by are: 1)A series of words separated by a periods 2)does not begin or end with a period, 3)contains only letters numbers and underscores, 4) none of the words begin with a number, and 5) contains no whitespace"
859,,&lt;!--[\w\W]*?--&gt;,This expression will find sigle or multilined HTML comments.
860,,([0]{1}[6]{1}[-\s]*([1-9]{1}[\s]*){8})|([0]{1}[1-9]{1}[0-9]{1}[0-9]{1}[-\s]*([1-9]{1}[\s]*){6})|([0]{1}[1-9]{1}[0-9]{1}[-\s]*([1-9]{1}[\s]*){7}),"Matches dutch telephone numbers WITHOUT country code prefix

Tests on mobile numbers, 3 digits prefix city-codes and 4 digit prefix city codes.
* Disallows a 0 directly after a prefix
* Allows space or a - between prefix and telephonenumber
* Also allows space between telephone digits to compensate the nasty habit of making telphone numbers more readable"
861,,"^(?!0,?\d)([0-9]{2}[0-9]{0,}(\.[0-9]{2}))$","Validates currency, must have two leading and two digits following a decimal point. Does not accept leading zero's."
862,First Name(s) OR Last Name(s),"^((?:[A-Z](?:('|(?:[a-z]{1,3}))[A-Z])?[a-z]+)|(?:[A-Z]\.))(?:([ -])((?:[A-Z](?:('|(?:[a-z]{1,3}))[A-Z])?[a-z]+)|(?:[A-Z]\.)))?$","I wrote this regex to validate first names or last names separately.  Allows for 2 names separated by space or hyphen.  Will accept an abbreviated second name with period.  Has to start with a letter and end with a letter or capital letter with period.

Updated 3/24/2005: Now, names like McDonald work.  Also, several convenient parts of the match are stored, for example: the Name MacDonald-O'Brian will yield the following: $1=&quot;MacDonald&quot; $2=&quot;ac&quot; $3=&quot;-&quot; $4=&quot;O'Brian&quot; $5=&quot;'&quot;"
863,,"^\+?[a-z0-9](([-+.]|[_]+)?[a-z0-9]+)*@([a-z0-9]+(\.|\-))+[a-z]{2,6}$",simply email regular expression
864,,^\d*\d?((5)|(0))\.?((0)|(00))?$,"Based on a pattern I found on this site, this pattern verifies that a number is a multiple of 5. Basically checks the last number before the decimal point to see if it's a 5 or 0. Also works on non-decimal numbers.

Thanks to Narsi V for the base pattern
http://www.regxlib.com/REDetails.aspx?regexp_id=82"
866,,"^(\d+|(\d*\.{1}\d{1,2}){1})$","This was written for quick entry on a timecard system.  It allows you to create a number with an option of 2 decimal places.  I have the digits left of the decimal unrestricted for this example, but in the real world of time keeping, you wouldn't surpass 3 digits on the left of the decimal."
867,,^\(0[1-9]{1}\)[0-9]{8}$,This is used to validate an Australian telephone number with no other characters than the () being used. Validates area code being between 01 - 09.
869,,"^[a-zA-Z]:(\\|(\\[^\\/\s:*""<>|]+)+)>",This pattern matches the windows console (cmd) prompt (also know as command prompt)
870,,[URL=[a-zA-Z0-9.:/_\-]+\][a-zA-Z0-9._/ ]+\[/URL\],A simple match for BBCode type strings.  I had to code my own BBCode scheme for a project that I had taken up and really this is my first RegEx so I thought that I would share.  You could modify this to work with any BBCode type of string that has the [TAG=VALUE]Desc[/TAG] syntax.
871,,[B\][a-zA-Z0-9._/ ]+\[/B\],The second type of BBCode that I had to write.  This one is an example of Bolding what is between the blocks though it can easily modified to match other Tags such as Underline or li.  Really anything that would match the BBCode that does not need a value in the first tag (ie. [TAG]Desc[/TAG]).
872,,(^(\d{3}.\d{3}.\d{3}-\d{2})|(\d{11})$),Valida&#231;&#227;o de CPF Brasileiro com ou sem os divisores.
873,,"(^\d{3,4}\-\d{4}$)|(^\d{7,8}$)","Formato de Telefone Brasileiro, sem o DDD"
875,,"^((\s|[0])\.(\d{0,2}\s{0,2}))?$|^(\.(\d\s){0,2})?$|^(\s{0,4}[1]{0,1}\.[0]{0,2}\s{0,4})?$|^(\s{0,4}[1]{0,1}\s{0,4})?$|^(\s{0,4}[0]{0,4}[1]{0,1}\s{0,4})?$|^([0]{0,4}\s{0,4})?$|^(\s{0,3}[0]{0,3}\.{1}\d{0,2}\s{0,2})?$","For a maximum of 4 characters All values between 0.00 and 1.00. Allows Spaces / zeros prefixed / suffixed. Allows entering just the integer part or the decimal part as well.
Allows 1.0, 1.00, 1, 1., .9, .90, 0.90."
879,,^[a-zA-Z][a-zA-Z0-9_]+$,"Validate that the string contains only alphanumeric characters or an underscore. The first character cannot be anything else than alphabetic character.

We use that to make sure the provided string can be a variable/entity name."
880,,"^\s*[a-zA-Z0-9&amp;\-\./,\s]+\s*$","Valida&#231;&#227;o para letras maiusculas e minusculas sem acentos, incluinto os caracteres . - &amp; e /"
881,,(^(\d{2}.\d{3}.\d{3}/\d{4}-\d{2})|(\d{14})$),Express&#227;o para a Valida&#231;&#227;o do CNPJ contendo ou n&#227;o os caracteres de separa&#231;&#227;o . e /.
882,,((([7-9])(\d{3})([-])(\d{4}))|(([7-9])(\d{7}))),"Express&#227;o para a Valida&#231;&#227;o de Telefones Celulares sem o DDD valida celulares com inicio igual a 7,8 e 9."
883,,(antifraud\.ref\.num)[0-9]*(@citibank\.com),We have be receiving a lot of Spam with this Return-Path address. It uses diferent ref. numbers all the time So I created this pattern.
884,,"# one tag name matcher and three times the style or attribute matcher with each 6 match possibilities (three times to reckon with the attributes placing)
# capturing (only one) front space of each attribute
# quotes aren't needed to match, but are captures when available
&lt;
	(span|font) # tagname

	.*?
	(?:
		(?:
				(\s?style=&quot;?).*? # style opener
				((?:\s?font-size:.+?\s*(?:;|,|(?=&quot;))+)|(?:\s?color:.+?\s*(?:;|,|(?=&quot;))+))[^&quot;]* # font-size or color style property
				((?:\s?font-size:.+?\s*(?:;|,|(?=&quot;))+)|(?:\s?color:.+?\s*(?:;|,|(?=&quot;))+))[^&quot;]* # font-size or color style property
				# (the line above should be made optional.)
				(&quot;?) # style end quote if available
			|
				(\s?size=&quot;?.*?(?:(?=\s)|&quot;|(?=&gt;))) # size attribute
			|
				(\s?color=&quot;?.*?(?:(?=\s)|&quot;|(?=&gt;))) # color attribute
			|
				(?=&gt;)
		)
		.*?
	){3}
	
&gt;","A regex that filters the text property attributes or CSS in a span or font tag, i.e. only the color and font-size style properties and the color and size attributes.

But there are two things I want to improve :
- First I need the regex to match, even when only one of the two style sheet properties is available (only font-size or only color)
- And second, it would be nice if a heading space is captured with the style sheets properties to. I have tried this already but didn't succed. with the tag attributes it does work."
886,,^([0-9a-fA-F])*$,Expression validating a hex string of any length.
887,,"(?=^.{6,255}$)((?=.*\d)(?=.*[A-Z])(?=.*[a-z])|(?=.*\d)(?=.*[^A-Za-z0-9])(?=.*[a-z])|(?=.*[^A-Za-z0-9])(?=.*[A-Z])(?=.*[a-z])|(?=.*\d)(?=.*[A-Z])(?=.*[^A-Za-z0-9]))^.*","THE Complex Password Filter Matching 3 of 4 Character catagories:  
1.) at least 1 upper case character 
2.) at least 1 lower case character
3.) at least 1 numerical character
4.) at least 1 special character

It also enforces a min and max length and works for .Net and script Regex implimentations. "
888,,"^([A-Z|a-z]{2}-\d{2}-[A-Z|a-z]{2}-\d{1,4})?([A-Z|a-z]{3}-\d{1,4})?$",It validates Indian Vehicle Registration Number
889,,&quot;.*?&quot;|&quot;.*$|'.*?'|'.*$,"
This pattern highlights any characters in double or single quotes, single line only .For the reason that  refreshing the whole document every keystroke would send the application to a crawl. Only Dreamweaver achieve parsing the whole document fast enough. Other application can only achieve refreshing a line dynamically. 
note: open quotes are highlighted until the end, as they are with most syntax highlighting applications. 
"
892,,^[9]9\d{10}|^[5]\d{10},This will make sure that if your number starts w. a 99 it will have 10 more digits after it and if it starts w. a 5 it will also have 10 digits after that. So if you have a number starting with 99 it must be 12 digits long if it starts with a 5 it must be 11.
894,English Sentence Matching,"\b((([&quot;'/,&amp;%\:\(\)\$\+\-\*\w\000-\032])|(-*\d+\.\d+[%]*))+[\s]+)+\b[\w&quot;',%\(\)]+[.!?](['&quot;\s]|$)","Focused on scraping English sentences from HTML/Java (without having to parse).

Correctly matches the vast majority of English sentences. There are undoubtedly a number of cases which do not match, but I felt they were oblique enough to be omitted.

(Surely, the fellow that commented on this script had some sentences not match, but the example he describes does correctly match, and I provide it as the fourth example.) 

Cheers"
897,,^([\w-]+\.)*?[\w-]+@[\w-]+\.([\w-]+\.)*?[\w]+$,"The following pattern checks whether the input string is a valid email address in the form &quot;name@domain.com&quot;. Actually, it does not have to be a &quot;.com&quot; address. Any combination of letters following the last period are fine. Also, the email name can have a dash or be separated by one or more periods. The Domain name can also have multiple words separated by periods. Thus, it will validate bob@hotmail.com and bill.michaels@us.office.gov.
"
899,,^[a-zA-Z0-9._-]+$,"This is to check release names...
it only allowes alphanumeric and numeric chars , and also _ - and ."
900,,"( xmlns:.*=[&quot;,'].*[&quot;,'])|( xmlns=[&quot;,'].*[&quot;,'])","Matches xml namespace (xmlns) attribtutes. Works with single and double quotes, could be extended to support unquoted attributes."
902,,^[1-9]\d*\.?[0]*$,"natural numbers 1, 2, 3...
(no zeros)"
903,,&lt;a\s*href=(.*?)[\s|&gt;],"Retrieves all anchor links in a html document, useful for spidering. You will need to do a replace of &quot; and ' after the regular expression, as the expression gets all links. As far as I know there is no way, even with \1 groupings, of getting a condition on whether the link contains a &quot;,' or nothing at all (&quot; and ' is easy enough, but what happens if the link starts with &quot;, and has a javascript function call with a string in it). If there is, it's probably quicker to do it like this and do a string replace anyway."
904,,"^([a-zA-z\s]{4,32})$",This is the simplest RegEx for validating someone's name. The name can contain only alphabets(in either case) &amp; should be of minimum length 4 &amp; maximum length 32. Only white spaces are allowed apart from alphabets.
905,,^([Vv]+(erdade(iro)?)?|[Ff]+(als[eo])?|[Tt]+(rue)?|0|[\+\-]?1)$,"This RegEx will match boolean values, either numeric or literal. It will accept MS Access &quot;-1&quot; values for &quot;true&quot;,
and recognizes English and Brazilian Portuguese."
906,,"^(^(([0-9A-F]{1,4}(((:[0-9A-F]{1,4}){5}::[0-9A-F]{1,4})|((:[0-9A-F]{1,4}){4}::[0-9A-F]{1,4}(:[0-9A-F]{1,4}){0,1})|((:[0-9A-F]{1,4}){3}::[0-9A-F]{1,4}(:[0-9A-F]{1,4}){0,2})|((:[0-9A-F]{1,4}){2}::[0-9A-F]{1,4}(:[0-9A-F]{1,4}){0,3})|(:[0-9A-F]{1,4}::[0-9A-F]{1,4}(:[0-9A-F]{1,4}){0,4})|(::[0-9A-F]{1,4}(:[0-9A-F]{1,4}){0,5})|(:[0-9A-F]{1,4}){7}))$|^(::[0-9A-F]{1,4}(:[0-9A-F]{1,4}){0,6})$)|^::$)|^((([0-9A-F]{1,4}(((:[0-9A-F]{1,4}){3}::([0-9A-F]{1,4}){1})|((:[0-9A-F]{1,4}){2}::[0-9A-F]{1,4}(:[0-9A-F]{1,4}){0,1})|((:[0-9A-F]{1,4}){1}::[0-9A-F]{1,4}(:[0-9A-F]{1,4}){0,2})|(::[0-9A-F]{1,4}(:[0-9A-F]{1,4}){0,3})|((:[0-9A-F]{1,4}){0,5})))|([:]{2}[0-9A-F]{1,4}(:[0-9A-F]{1,4}){0,4})):|::)((25[0-5]|2[0-4][0-9]|[0-1]?[0-9]{0,2})\.){3}(25[0-5]|2[0-4][0-9]|[0-1]?[0-9]{0,2})$$",Matches all IPv6 text representations as defined within RFC 2373. Fairly verbose
907,,"urn:[a-z0-9]{1}[a-z0-9\-]{1,31}:[a-z0-9_,:=@;!'%/#\(\)\+\-\.\$\*\?]+",Matches canonical Uniform Resource Names (URNs) as defined in RFC 2141.
908,,"^([0-9]{3,4})$","Allows you to check the length of a number (in this case either 3 or 4 digits).
I found it useful when validating Credit Card Identification Codes (CVV2/CVC2/CID) which are either 3 or 4 numerical digits."
909,,"&amp;(?!([a-zA-Z0-9#]{1,6};))",I'am using it in PHP preg_match() to replace in string parts with non-entity ampersand. Made for my RSS.
910,,"^([a-zA-z\s]{2,})$","This pattern matches is for validating Names, Cities, States, Countries etc that require only alphabet inputs with white spaces. It requires atleast 2 characters &amp; there's no limit on maximum number of characters."
911,,^\+?972(\-)?0?[23489]{1}(\-)?[^0\D]{1}\d{6}$,"Matches an israely phone number with country code. With or without the plus sign. Also allows two or one digit in city code. Checks for a valid city code (02,03,04,08,09)"
912,,"^((0?[1-9]|1[012])(:[0-5]\d){1,2}(\ [AaPp][Mm]))$","This is a simple expression used to match a normal 12 hour clock, requires AM/PM in any or mixed case and requires a space before the AM or PM and minutes are required."
913,,"^(LDAP://([\w]+/)?(CN=['\w\s\-\&amp;]+,)*(OU=['\w\s\-\&amp;]+,)*(DC=['\w\s\-\&amp;]+[,]*)+)$","LDAP path of Microsoft Active Directory entries (Organizational Units, Users, Computers and Groups). Requires LDAP protocol especification and allows a server name at the beginning."
915,,"^(\$|R\$|\-\$|\-R\$|\$\-|R\$\-|-)?([0-9]{1}[0-9]{0,2}(\.[0-9]{3})*(\,[0-9]{0,2})?|[1-9]{1}[0-9]{0,}(\,[0-9]{0,2})?|0(\,[0-9]{0,2})?|(\,[0-9]{1,2})?)$","This is a regex for Brazilian Reais, that can be transformed to another currencies. The main modification is the exchange of . and , plus the addition of the R matching R$."
916,,"((\s*([^,{]+)\s*,?\s*)*?){((\s*([^:]+)\s*:\s*([^;]+?)\s*;\s*)*?)}","will break out a valid CSS stylesheet into it's components.  Groups on each style, all selectors, each selector within a comma delimited list of selectors, all properties, each property set, each property and each value.  In other words, it breaks it all down for you :)  

The only two problems I'm having with it:
A) it is ignorant of comment blocks.  so if you have styles within a /*  */ block, it'll pick those up.  

B) the first style following a comment block is not parsed correctly (it incorrectly includes the comment as a selector

best thing to do would be to use another regexp to remove all comments before processing with this one"
917,,(?![\uD800-\uDBFF])(?![\uDC00-\uDFFF])[\u0080-\uFFFF],Unicode Plane 0 character excluding standard ASCII 
918,,[\uD800-\uDBFF][\uDC00-\uDFFF],"Non-Plane 0 Unicode character
"
920,,(^(?!0{5})(\d{5})(?!-?0{4})(-?\d{4})?$),Javascript matches US zipcodes not allowing all zeros in first 5 or +4
922,,"^(([a-zA-Z0-9]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?\.)+[a-zA-Z]{2,6}/(DC=['\w\d\s\-\&amp;]+[,]*){2,})|((\d{1,2}|1\d\d|2[0-4]\d|25[0-5])\.(\d{1,2}|1\d\d|2[0-4]\d|25[0-5])\.(\d{1,2}|1\d\d|2[0-4]\d|25[0-5])\.(\d{1,2}|1\d\d|2[0-4]\d|25[0-5])/(DC=['\w\d\s\-\&amp;]+[,]*){2,})|((DC=['\w\d\s\-\&amp;]+[,]*){2,})$",This expression gets a server bound or serverless ldap path without &quot;LDAP://&quot; in front of it.
923,,^\d{5}(\-\s)?(\d{4})?$,"Web form single field zip code validator.  Allows user to enter 5-digit or 5-digit plus 4 zip code, with hyphen or space or no-space between last 4 digits."
924,,^\d{5}((-|\s)?\d{4})?$,"Single field zip code validator, useful for Web Forms.  Allows user to enter 5-digit or 5-digit plus 4 zip code, with hyphen or space or NO space between last 4 digits."
925,,^\d{5}((\-|\s)?\d{4})?$,"Single field zip code validator useful for web forms, where user may enter 5 digit or 9 digit zip code, and may use hyphen, space, or no space between the first 5 digits and last 4 digits."
926,,^(\([2-9]|[2-9])(\d{2}|\d{2}\))(-|.|\s)?\d{3}(-|.|\s)?\d{4}$,"Telephone validator allowing user to enter 10 digit telephone number with segments of number separated by hyphens, periods or spaces.  Also braces allowed around area code."
927,,[1-2][0|9][0-9]{2}[0-1][0-9][0-3][0-9][-][0-9]{4},"Swedish person number. Don't work on persons older then 100 years, but they are so few that it shouldn't be a problem. Easy to fix, but I choose not to accept oldies..."
932,,^([0]?[1-9]|[1][0-2])[./-]([0]?[1-9]|[1|2][0-9]|[3][0|1])[./-]([0-9]{4}|[0-9]{2})$,"Validate american date formats: mm/dd/yyyy or m/d/yy or m.d.yyyy with separators: . - /
Valid dates only! m (1-12)/ d (1-31)/ y (0..)
(rizzipereira.com.br)
For Brazilian date format: http://www.regexlib.com/REDetails.aspx?regexp_id=250"
933,,^[0-9]{4}-(((0[13578]|(10|12))-(0[1-9]|[1-2][0-9]|3[0-1]))|(02-(0[1-9]|[1-2][0-9]))|((0[469]|11)-(0[1-9]|[1-2][0-9]|30)))$,Matches the date format &quot;YYYY-mm-dd&quot; and also validates month and number of days in a month. All leap year dates &quot;YYYY-02-29&quot; passes trough. Could easily be changed to another format.
935,,([0]{1}[6]{1}[-\s]*[1-9]{1}[\s]*([0-9]{1}[\s]*){7})|([0]{1}[1-9]{1}[0-9]{1}[0-9]{1}[-\s]*[1-9]{1}[\s]*([0-9]{1}[\s]*){5})|([0]{1}[1-9]{1}[0-9]{1}[-\s]*[1-9]{1}[\s]*([0-9]{1}[\s]*){6}),"Meets dutch phone number requirements.. One posted here before didn't allow the 0 after the first digit of the call ID (so the second number or later after the prefix), which should be allowed. I modified that one to meet full requirements now..

Enjoy!!"
936,,"^((A(((H[MX])|(M(P|SN))|(X((D[ACH])|(M[DS]))?)))?)|(K7(A)?)|(D(H[DLM])?))(\d{3,4})[ABD-G][CHJK-NPQT-Y][Q-TV][1-4][B-E]$",Matches valid reference codes for AMD Athlon and Duron processors (not Athlon 64).
937,,"^((?:2[0-5]{2}|1\d{2}|[1-9]\d|[1-9])\.(?:(?:2[0-5]{2}|1\d{2}|[1-9]\d|\d)\.){2}(?:2[0-5]{2}|1\d{2}|[1-9]\d|\d)):(\d|[1-9]\d|[1-9]\d{2,3}|[1-5]\d{4}|6[0-4]\d{3}|654\d{2}|655[0-2]\d|6553[0-5])$","IPv4 ip:port checker, I hope it will help you. $1 - IP, $2 - port. More to come, maybe :)"
938,, (?=(?:[^\']*\'[^\']*\')*(?![^\']*\')),This exp will parse out space delimited strings with consideration to single quotes.  I use it with SQL statements.
940,,"^[A-Za-z0-9](([_\.\-]?[a-zA-Z0-9]+)*)@([A-Za-z0-9]+)(([\.\-]?[a-zA-Z0-9]+)*)\.([A-Za-z]{2,})$",
941,,"^(9,)*([1-9]\d{2}-?)*[1-9]\d{2}-?\d{4}$","Validates US or Canadian phone numbers with the use of &quot;-&quot; or numbers stuck together. No parantheses allowed as well as spaces. Area code is optional. The &quot;9,&quot; is optional as well, which on some phone systems is needed to dial out."
943,,"^\-?\(?([0-9]{0,3}(\,?[0-9]{3})*(\.?[0-9]*))\)?$","Match a positive or negative decimal value with any precision and scale.  Allows for left-padded zeroes, commas as group separator, negative sign (-) or parenthesis to indicate negative number."
944,,"^[-+]?[0-9]\d{0,2}(\.\d{1,2})?%?$","Required and regular expression validator. For supporting 
-999.99 to +999.99 . Positive and Negative integer/ decimal validations. Percentage sign is also supported. Will not allow empty strings. Can increase/decrease the range as you need."
945,,"(SELECT\s[\w\*\)\(\,\s]+\sFROM\s[\w]+)|
(UPDATE\s[\w]+\sSET\s[\w\,\'\=]+)|
(INSERT\sINTO\s[\d\w]+[\s\w\d\)\(\,]*\sVALUES\s\([\d\w\'\,\)]+)|
(DELETE\sFROM\s[\d\w\'\=]+)","This RE match the SQL Basics Queries (SELECT, UPDATE, INSERT and DELETE)."
946,,^([0-9]{5})([\-]{1}[0-9]{4})?$,Validates against a U.S. postal code in either a 5 digit format or a 5 dash 4 format.
947,,"^([4]{1})([0-9]{12,15})$",Validate against a visa card number. All visa cards start with a 4 and are followed by 12 to 15 more numbers.
948,,^([51|52|53|54|55]{2})([0-9]{14})$,Validate against any mastercard number. All MC's start with a number between 51 and 55 and are followed by 14 other numbers.
949,,^([34|37]{2})([0-9]{13})$,"Validate against any american express number. All american express numbers start with either a 34 or 37, followed by 13 other numbers."
950,,^([6011]{4})([0-9]{12})$,Validate against any discover card number. All DC's start with 6011 and are followed by 12 other numbers.
951,,^([30|36|38]{2})([0-9]{12})$,"Validate against any diner's club card. All diner club cards start with 30,36, or 38, followed by 12 other numbers."
952,,([^\.\?\!]*)[\.\?\!],"Finds sentences (assuming they end with a full stop, question mark or exclamation mark)."
953,,^((?:\+27|27)|0)(=72|82|73|83|74|84)(\d{7})$,Verifies South African mobile numbers with or without the country code.
954,,"^(([A-Z]{1,2}[0-9]{1,2})|([A-Z]{1,2}[0-9][A-Z]))\s?([0-9][A-Z]{2})$","Matches UK postcodes of the below formats. The space is optional.
AN NAA
AAN NAA
ANN NAA
ANA NAA
AANA NAA
AANN NAA
"
955,,(\d{6}[-\s]?\d{12})|(\d{4}[-\s]?\d{4}[-\s]?\d{4}[-\s]?\d{4}),
956,,^[\n &lt;&quot;']*([a-zA-Z0-9._-]+@[a-zA-Z0-9._-]+),"I use this expression to read bounced email addresses returned by the system administrator. The body of the subject should contain the email address somewhere but the location varies.
Examples:
  To:      blah.v.blah@blah-blah.net ||
blah-blah.blah@blah.com ||
&lt;blah@blah.org&gt;... Deferred: Connection timed out with mail.blah.org. ||
  blah@blah.net 0n 25-12-2004 21:09"
957,,"^(([0-2]?\d\/((0?\d)|(1[0-2])))|(30\/((0?[1,3-9])|(1[0-2])))|(31\/((0?[13578])|(1[0-2]))))\/[2-9]\d{3}\s(([01]?\d)|(2[0-3]))(:[0-5]?\d){2}$",It recognizes date and time expressed as 'dd/mm/yyyy hh:MM:ss' (year&gt;2000)
958,,"^((((([0-1]?\d)|(2[0-8]))\/((0?\d)|(1[0-2])))|(29\/((0?[1,3-9])|(1[0-2])))|(30\/((0?[1,3-9])|(1[0-2])))|(31\/((0?[13578])|(1[0-2]))))\/[1-9]\d{3})|(29\/0?2\/(((([2468][048])|([13579][26]))00)|([1-9]\d(([02468][48])|([13579][26])))))\s(([01]?\d)|(2[0-3]))(:[0-5]?\d){2}$",dd/mm/yyyy hh:mm:ss ( 1000&lt;yyyy&lt;9999)
959,,"^((((([0-1]?\d)|(2[0-8]))\/((0?\d)|(1[0-2])))|(29\/((0?[1,3-9])|(1[0-2])))|(30\/((0?[1,3-9])|(1[0-2])))|(31\/((0?[13578])|(1[0-2]))))\/((19\d{2})|([2-9]\d{3}))|(29\/0?2\/(((([2468][048])|([3579][26]))00)|(((19)|([2-9]\d))(([2468]0)|([02468][48])|([13579][26]))))))\s(([01]?\d)|(2[0-3]))(:[0-5]?\d){2}$","My definitive Date and Time pattern (dd/mm/yyyy hh:mm:ss). It recognizes all correct dates (&gt;1900) and time (even february). What can I say, I'm proud of it"
960,,"(\S+)\x20{2,}(?=\S+)",Trim Inside.  This pattern can be used with a replace value of &quot;$1 &quot; to remove multiple consecutive spaces between characters and replace with a single space. Trailing and leading spaces are NOT altered.
961,Word Break,"^(?:[ -~]{10,25}(?:$|(?:[\w!?.])\s))",Word Break.  This regex can be used to break a long line of text on a full word. The qualifiers specify the minimum and maximum number of character allow before the break and can be changed according to your need. Blogge about this here http://regexadvice.com/blogs/mash/archive/2005/02/09/324.aspx
963,,^[0-9]{4}((0[1-9])|(1[0-2]))$,Match a string in CCYYMM/YYYYMM format.
964,,(^[a-zA-Z][a-zA-Z0-9_]*)|(^[_][a-zA-Z0-9_]+),This pattern can be used for validating a string as a valid element name (e.g. variable or class name) in Microsoft .NET. See also http://msdn.microsoft.com/library/default.asp?url=/library/en-us/vbcn7/html/vbconelementnames.asp
965,,"^[^\\\./:\*\?\""<>\|]{1}[^\\/:\*\?\""<>\|]{0,254}$",Validates a long filename using Windows' rules.  Requires one valid filename character other than &quot;.&quot; for the first character and then any number of valid filename characters up to a total length of 255 characters.  Unresolved is how to prevent the last character from being a &quot;.&quot; while still meeting all the features that this regex does now.
966,,(^0.*[1-9]*)|(^860+)|(^8613)|(\D)|([0-9]),"forbidden tele numbers when it starts with 0,
860+,8613,character or has any SBC case.
you can also use it to any international phone dialed by E1 ,etc . this regex has been tested by java, perl,.net
PS: the last regex [0-9]is in SBC case"
970,,^\\([^\\]+\\)*[^\/:*?&quot;&lt;&gt;|]?$,"Orginally on this site search for Path, go to next page
you see a reg expression for ^([a-zA-Z]\:|\\)\\([^\\]+\\)*[^\/:*?&quot;&lt;&gt;|]+\.htm(l)?$

which I modified with this one to disallow drive specification."
971,,"^-?[0-9]{0,2}(\.[0-9]{1,2})?$|^-?(100)(\.[0]{1,2})?$",Matches a negative or positive percentage between 0 and 100 (inclusive). Accepts up to 2 decimal places.
972,,href=[\&quot;\']?((?:[^&gt;]|[^\s]|[^&quot;]|[^'])+)[\&quot;\']?,"This will match just about everything after href=
Its good if you just need a list of all the href= values"
974,,\b(?:a(?:[nst]|re|nd)?|b[ey]|f(?:or|rom)|i[nst]?|o[fnr]|t(?:o|hat|he|his)|w(?:as|h(?:at|en|ere|ich|o)|i(?:th|ll)))\b,"Removes &quot;stop&quot; or &quot;delete&quot; words that google removes from search strings.  Ordinarily have no search significance. I used this to remove the words in my own web search application.  Take out the ?: for grouping.

I've tested this a bit, yet this is my 1st regex that I've ever written.  It's working fine for me."
975,,"^([0-1])*$
",Expression validating a Binary string of any length
976,,"^([0-7])*$
",Expression validating a octal string of any length.
977,,(script)|(&lt;)|(&gt;)|(%3c)|(%3e)|(SELECT) |(UPDATE) |(INSERT) |(DELETE)|(GRANT) |(REVOKE)|(UNION)|(&amp;lt;)|(&amp;gt;),This Blacklist RegEx is designed to search a user input for any malicious code or SQL injection attempts.
978,,^([0-9a-fA-F]){8}$,Hex number/string validation method for the Electronic Serial Number(ESN) used in Cellular Phone products.
979,,^\(\d{3}\) ?\d{3}( |-)?\d{4}|^\d{3}( |-)?\d{3}( |-)?\d{4},"Expresion Regular para Tel&#233;fonos con clave lada en M&#233;xico
separada o no con guiones o espacios. Sirve para tel&#233;fonos estacionarios y/o celulares, con o sin par&#233;ntesis, 10 n&#250;meros a fuerzas, funciona en .net"
980,,"^(?:[a-zA-Z0-9_'^&amp;/+-])+(?:\.(?:[a-zA-Z0-9_'^&amp;/+-])+)*@(?:(?:\[?(?:(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?))\.){3}(?:(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\]?)|(?:[a-zA-Z0-9-]+\.)+(?:[a-zA-Z]){2,}\.?)$","this will validate most legal email addresses, even allows for some discouraged but perfectly legal characters in local part; allows IP domains with optional []; keeps final tld at a minmum of 2 chars; non capturing groups for efficiency"
981,,^(([0-1]?[0-9])|([2][0-3])):([0-5]?[0-9])(:([0-5]?[0-9]))?$,Time in 24 hours format with optional seconds
982,,"(02\d\s?\d{4}\s?\d{4})|(01\d{2}\s?\d{3}\s?\d{4})|(01\d{3}\s?\d{5,6})|(01\d{4}\s?\d{4,5})","Validates UK domestic landline phone numbers.
Valid formats are:
029 99999999 or 029 9999 9999; 0199 9999999 or 0199 999 9999; 01999 99999; 01999 999999; 019999 9999; 019999 99999. These formats are taken from the official guidelines from Ofcom, the organisation responsible for UK telecoms issues. Brackets are not valid and STD code must be entered."
983,,(077|078|079)\s?\d{2}\s?\d{6},"Validates UK mobile phone numbers. Valid formats are `077', `078' or `079' followed by another 8 digits, with an optional space after the dialling code and/or between the 4th and 5th characters of the remainder of the number. These formats are taken from the official guidelines from Ofcom, the organisation responsible for UK telecoms issues. Brackets are not valid and STD code must be entered."
985,,[-+]((0[0-9]|1[0-3]):([03]0|45)|14:00),This matches timezone offsets. Also matches non-hour offsets like India (+05:30) and Nepal (+5:45}. See for more timezone information: http://en.wikipedia.org/wiki/Time_zone
